date,Aargau,Appenzell Innerrhoden,Appenzell Ausserrhoden,Bern,Basel-Landschaft,Basel-Stadt,Fribourg,Genève,Glarus,Grishun,Jura,Luzern,Neuchâtel,Nidwalden,Obwalden,St. Gallen,Schaffhausen,Solothurn,Schwyz,Thurgau,Ticino,Uri,Vaud,Valais,Zug,Zürich,Managers,Professionals,Technicians and associate professionals,Clerical support workers,Service and sales workers,"Skilled agricultural, forestry and fishery workers",Craft and related trades workers,Plant and machine operators and assemblers,Elementary occupations,Manufacturing,"Electricity, Gas, Steam and Air-Conditioning Supply","Water Supply; Sewerage, Waste Management and Remediation Activities",Construction,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Transportation and Storage,Accommodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence; Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Activities of Extraterritorial Organisations and Bodies,Total
2018-01-05,89.3019360424261,122.834808940404,104.761950464515,83.195135814534,,83.4710470620123,92.4360499277024,82.0951497168372,90.6365520449222,74.6844672358008,86.882464532153,79.5243473707449,95.0603659108411,82.6091597336603,80.7469161662167,91.4240098527558,95.5304790187965,95.0003907802097,82.9878014469688,98.3206470280698,75.7596412836948,98.5780845582843,82.3578278925974,64.4438579475761,82.3560084837561,81.1539703300865,84.7266338277019,77.4944916951662,81.1855226366369,82.4997422345139,80.5837346463659,72.6764548867702,81.3730542778239,74.889198262408,56.7013887341748,88.5555714662651,90.5849877482305,92.7695526383385,78.2183381905087,97.6268378320412,78.6328007042395,66.2234096997881,78.9642992406075,91.9686969962605,84.4443923263774,79.6242014702787,83.1301645341651,72.2442683131733,60.8321886215769,82.546221680011,75.6585302211694,70.5701376220845,81.2332370109977
2018-01-12,90.3101211649198,122.834808940404,103.987083966997,83.8716077385341,,83.3183374991473,94.3119389745207,85.3525859833532,89.1208906394887,76.0197628892152,83.8705390950384,80.5645288063013,94.6302285085296,83.7781572770612,82.1471517066714,91.273002757671,93.0505681639067,96.6589815018817,82.3121884094087,98.8727282518109,77.0972914508226,98.2060917863662,84.0771391525045,65.8080378363902,82.5367128358872,82.3955976095601,85.1274512366394,79.0940075332776,82.0793082069485,84.169510652576,81.2715800504387,73.5166451166751,82.1460536973429,77.3135101543635,57.9452948855644,89.9245064040268,94.5437147192329,97.6859114187112,78.6086263470214,100.348541873745,77.4542515330129,67.050262715336,79.4835450025053,95.3587093418488,84.9058370931882,79.9573829409796,84.7646396484628,73.3026816203985,61.7733777183522,83.5160859034053,76.6319148205061,71.526094977391,82.3362784117794
2018-01-19,91.4114641059555,136.388994754518,109.898886116724,84.0800525452093,,78.944430648054,98.4624305339952,89.0802765913609,98.1514127806994,77.2301204122523,85.4195991838649,81.4050301807763,98.9895985858889,88.8556213544588,87.8997533668024,91.8095240529783,101.326445378028,98.3042407614882,85.0410769290711,101.52199751235,82.3048514993955,105.272581785754,86.9007274579195,68.009164316338,83.8128188322455,83.8528214177131,85.1583448861537,80.8243633791009,82.5004977294986,85.980557588685,82.0368892007959,77.7175962661994,82.4292131712633,78.8121756875724,59.6068087174086,90.4384206580269,92.4504959431613,93.6772023108159,78.7103924052957,101.39097535668,76.8895789823469,67.3885061826621,80.7926857437231,97.2670578970274,84.9058370931882,80.9514378124142,84.7518758117442,76.660749164709,63.5856467662351,85.0620143122932,76.8084860528113,75.1809622947648,83.3131829614877
2018-01-26,91.4114641059555,141.179517297549,112.444228165749,84.420959503557,,81.1001088281116,101.750835407321,87.2787391559935,100.792257967624,79.0134091606702,87.3958881109981,82.2609241896863,102.570073428357,89.231067641872,88.2435594425527,92.3209407422217,105.235807712739,98.2595163571381,85.0964782821194,101.039019408105,83.6977028324622,104.55153670503,87.6919742699383,70.4380630419216,86.424932476668,84.0942402893571,85.9964586495323,82.1319020938578,83.1497716062141,86.385121876497,82.7288401392298,80.4241792207436,82.9020102355187,79.5886503248884,60.7637341186747,91.4144687138387,95.8123321592762,95.3650798299297,79.2531447160922,100.72713221816,79.296718119663,69.5740793561538,81.1410909802585,97.6459826056463,86.0571026808925,81.6525966376327,85.184283341396,78.8429239552886,68.034619779411,85.2855675693557,76.9844505111225,78.0293199208091,84.0920035546278
2018-02-02,92.9537112612528,137.347922882375,113.686705825039,86.0877322937554,,81.8093493235665,99.1617556259639,85.9854304931521,98.211733290742,78.8723977225489,86.6948515753484,82.8781280026341,100.936792004339,88.0500682172002,85.3021074611342,92.2355572132116,101.796026459615,100.398560946664,86.6630143714681,102.582740256627,82.3837671522037,102.674489367417,86.7620786558933,69.4549373672806,86.470756937154,84.4231305130587,87.4842330287638,83.2755618764186,84.263345474609,87.2935060767884,83.5245110896957,77.8710306740533,83.676656153263,79.9852715059094,61.9996066770207,92.089153139565,99.5286892854542,96.4341950746599,79.9997487057099,101.003950169979,79.9587062256113,72.9254819838401,81.518309902738,98.2093818372003,84.5258375086346,82.1752020895178,85.4658419702287,79.9387656196269,71.2323078173869,86.9165001090585,78.1295281503039,79.2555871486795,84.9166114070615
2018-02-09,95.4079984400842,135.289174573646,118.07131706898,87.2141342787982,,87.5372489717919,98.7718666785486,87.0440746442305,101.877490054316,79.1561113834213,87.8695785614642,84.8549915630835,103.116852306808,87.5220318260925,87.797015896627,93.2451219987311,100.055923443212,99.8924270463825,88.2428089042813,105.644162544129,84.4894225426754,104.007924294267,88.0869057178904,70.6366919087193,88.5650433000022,85.8372634684535,91.8428224957325,85.193006938401,86.137819896133,89.2387652651291,83.8599508932688,80.8497039785253,84.4430910425978,80.2940949480172,63.1703710067181,94.5525631499141,103.477318732018,97.075664221498,80.5993791231053,101.407550838542,84.3561986436963,74.2787383505505,82.3766753885112,99.9885373052655,88.1942282865862,82.8892914124882,87.3179234215023,81.7045414232802,72.2619469579799,88.166354794004,78.667116646751,80.6690625882738,86.6475810008256
2018-02-16,95.4742195044188,132.765122809212,118.589173722791,87.0613782691145,,87.9275424385451,99.0944999341481,88.8225783304781,101.49829344121,79.7326554680478,88.2334277480541,85.4807378695822,104.293985324009,89.3233327232397,87.8869718555375,91.7846171292765,98.0805704481955,99.5440056056905,90.2906378029038,106.538463515242,83.8821310958278,104.340217982108,88.579849472516,70.6721699056599,89.8047989367476,85.755710456544,92.2501772185044,86.4100498946639,85.8871003912506,87.8337002206321,83.5052433774357,79.320114984337,83.8108276194932,81.4374201405235,62.9629149442986,94.622189485076,103.202600186712,93.7511551728166,80.0324944006885,100.432633179917,82.9791151770315,75.2965088062756,82.6857811122955,103.176330125701,87.9393316730411,82.6866281083012,86.2233090917218,81.5815664963939,74.0625377946023,88.0384776755925,78.9976507503088,80.0468665991624,86.7046901647316
2018-02-23,94.5905546961284,134.50061461064,120.151613429284,86.0699850795678,,86.4168658678969,100.269533530205,89.0129804276495,103.162199891066,82.9417097128918,89.4879314601117,84.0302450498222,104.820342856286,91.1462578808568,88.5682662110068,92.4941844285934,100.873664458768,98.2395428119422,90.6260828969084,105.59783581692,87.5925571158644,107.905800970705,88.2001311370778,71.2527478511134,89.1623527512011,85.725531785916,90.7547039069521,86.6756847969929,86.4742353929625,87.2911447628519,82.2459288584166,71.8593120897707,83.5354201956312,80.758067313491,62.674094233545,94.3859607107321,99.6400508814534,92.7140848722323,80.6914692413693,99.5428885903798,81.1470507062408,75.3797553610641,82.8627302005823,103.232587666664,87.0978069680359,82.7277628106506,86.3081506947078,81.2162339561069,74.7589557705941,86.8979968303421,79.3464262503101,80.2670347980599,86.4126447549401
2018-03-02,94.2512342846842,125.747863117539,117.949882293145,86.1788104495003,,83.891591229632,99.2504191295594,86.253385504514,99.8098093480773,83.9360159232362,85.6618441292756,82.0842814802474,101.860173869034,87.8342572311164,86.6103201439234,91.7122287631342,93.9243485003603,98.9699483347076,88.389109964643,104.138885250607,84.0834562144584,102.749240570335,85.9908379690041,71.1447072933406,85.9647423874626,85.3094788609137,89.987762747175,85.8321010917689,85.6363231580693,85.6670278442779,82.4079698461933,72.6667200907793,83.829352004905,80.4568917827534,62.1375844774602,94.0636147723803,102.560728810335,91.0245343506426,80.7574925354439,98.7605148219852,80.9556661526884,75.1093533688749,82.8880124981263,98.695832155608,88.5003481430446,82.2547519146515,85.5431606528104,78.5261966087235,73.2728751082171,87.4983698912122,78.4744875003067,77.3104904128649,85.7548311239865
2018-03-09,94.6295134252437,120.532513955982,115.276351627834,86.5050061911284,,84.0816061588044,98.4153023342945,88.2499916504518,96.321016620105,85.4064278810155,87.7511574007214,81.1545638360598,101.313126748363,84.6973194728622,84.9957469321858,92.8099343878514,92.1769187608187,99.2941362796505,86.2529916963923,105.068696726059,85.0312568481158,99.5145422560837,89.1599639487765,71.5971378643635,85.9178695726385,86.3605071932694,90.5970548907757,87.5900020839501,86.3244099694492,87.0948116416826,82.9938815689366,75.386864693108,83.5453367252878,80.7579063431378,61.9921767134724,94.6122925570419,103.468345879453,89.9331130754551,81.0393489243013,98.0814715432884,82.6706148437734,76.6937582004875,84.5323549139755,100.020806035979,86.893906180052,82.956605656419,86.4893198539703,83.2572780193112,76.3408044318539,88.250289426227,80.0026275776323,83.0907139951352,86.757457701881
